Allele,TD
A0101,32.11
A0102,109.86
A0201,2.02
A0202,1.45
A0205,1.49
A0301,3.14
A1101,4
A1102,3.99
A2301,2.36
A2402,3.61
A2501,3.91
A2601,8.33
A2902,4.38
A3001,6.52
A3002,4.54
A3101,3.67
A3201,2.92
A3301,5.34
A3303,4.2
A3402,4.66
A3601,16.33
A6601,3.77
A6602,3.16
A6801,1.17
A6802,1.19
A7401,2.31
A7403,2.4
A8001,9.7
B0702,2.37
B0705,1.72
B0801,23.78
B1302,12.35
B1401,9.48
B1402,7.68
B1501,6.1
B1503,7.52
B1510,3.72
B1516,9.18
B1801,2.4
B2705,3.38
B3501,1.26
B3502,2.38
B3503,2.1
B3701,3.13
B3801,6.39
B3901,4.1
B3906,11.95
B3910,2.32
B4001,1.9
B4002,1.71
B4102,3.45
B4201,1.72
B4202,2.31
B4402,190.4
B4403,274.16
B4405,1.82
B4501,16.31
B4601,60.66
B4901,82.4
B5001,286.17
B5101,4.92
B5201,17.51
B5301,1.96
B5501,6.46
B5601,4.6
B5701,28.43
B5702,2.74
B5703,2.46
B5801,4.3
B5802,73.28
B7301,3.97
B7801,3.33
B8101,1.45
C0102,3.67
C0202,4.17
C0210,2.34
C0302,3.19
C0303,3.01
C0304,2.32
C0401,13.59
C0501,1.68
C0602,7.43
C0701,1.38
C0702,1.63
C0704,1.69
C0802,1.97
C0804,1.28
C1202,2.83
C1203,3.76
C1402,3.19
C1502,3.31
C1505,2.99
C1601,5.98
C1701,2.92
C1703,3.63
C1801,2.76
C1802,2.28
